,Names,Prices,Images,Ratings,Links
0,"Xiaomi 14 CIVI (Hot Pink, 512 GB)","₹36,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/q/u/-original-imah34gx5euj4gqz.jpeg?q=70,4.3,https://www.flipkart.com//xiaomi-14-civi-hot-pink-512-gb/p/itm52d98cf19215d?pid=MOBH3YHAWYUWU4SH&lid=LSTMOBH3YHAWYUWU4SHHJYXWY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBH3YHAWYUWU4SH.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
1,"Redmi 8 (Onyx Black, 64 GB)","₹10,999",https://rukminim2.flixcart.com/image/312/312/k1fbmvk0/mobile/k/b/e/mi-redmi-8-mzb8250in-original-imafhyabpggagngr.jpeg?q=70,4.4,https://www.flipkart.com//redmi-8-onyx-black-64-gb/p/itmebd23d8a2ed1b?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXAZ1IYPU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBFKPYDZJQHGJXA.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
2,"Xiaomi 14 CIVI (Matcha Green, 256 GB)","₹54,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/2/z/-original-imahfpwv6yzawcuc.jpeg?q=70,4.3,https://www.flipkart.com//xiaomi-14-civi-matcha-green-256-gb/p/itm7adc571ae1048?pid=MOBHFGU7DP9WMCHS&lid=LSTMOBHFGU7DP9WMCHSOB0SJG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBHFGU7DP9WMCHS.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
3,"i Note 7S (Sapphire Blue, 64 GB)","₹59,990",https://rukminim2.flixcart.com/image/312/312/k3xcdjk0pkrrdj/mobile-refurbished/5/w/6/redmi-note-7s-32-a-mzb7745in-mi-3-original-imafe48ru3s66sjd.jpeg?q=70,4.4,https://www.flipkart.com//note-7s-sapphire-blue-64-gb/p/itm17949616533eb?pid=MOBFGGJ8CKGVHHZU&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBFGGJ8CKGVHHZU.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
4,"13 pro (Ceramic Black, 256 GB)","₹14,599",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/h/e/13-pro-2210132g-xiaomi-original-imahbdmygnxxa6yt.jpeg?q=70,4.1,https://www.flipkart.com//13-pro-ceramic-black-256-gb/p/itm8c1e909a2baad?pid=MOBGZBGWKUBE2J67&lid=LSTMOBGZBGWKUBE2J67TTQWHS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBGZBGWKUBE2J67.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
5,"A1 (Black, 64 GB)","₹39,990",https://rukminim2.flixcart.com/image/312/312/j752nww0/mobile/h/e/t/mi-mi-a1-na-original-imaexg9njdddfphr.jpeg?q=70,4.4,https://www.flipkart.com//a1-black-64-gb/p/itmdc91a66d0c131?pid=MOBEX9WXUSZVYHET&lid=LSTMOBEX9WXUSZVYHET0KM92F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBEX9WXUSZVYHET.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
6,"Mi 10 (Twilight Grey, 128 GB)","₹58,999",https://rukminim2.flixcart.com/image/312/312/kdxfc7k0/mobile/6/f/h/mi-10-mzb9044in-original-imafuq92ausjrxaz.jpeg?q=70,4.1,https://www.flipkart.com//mi-10-twilight-grey-128-gb/p/itm64023f396f447?pid=MOBFRXQ6ZDANU6FH&lid=LSTMOBFRXQ6ZDANU6FHUHPEFL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBFRXQ6ZDANU6FH.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
7,"Xiaomi 14 CIVI (Panda White, 512 GB)","₹34,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/r/m/-original-imah34gxy5562pgz.jpeg?q=70,4.3,https://www.flipkart.com//xiaomi-14-civi-panda-white-512-gb/p/itm24b0d2c35056d?pid=MOBH3YHARFSTRHHT&lid=LSTMOBH3YHARFSTRHHTXMOGIA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBH3YHARFSTRHHT.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
8,"Mi 11X (Cosmic Black, 128 GB)","₹13,990",https://rukminim2.flixcart.com/image/312/312/kp78e4w0/mobile/b/2/u/11x-11x-mi-original-imag3hqsshfzpv4u.jpeg?q=70,4.2,https://www.flipkart.com//mi-11x-cosmic-black-128-gb/p/itmabc334b32f605?pid=MOBG36HSAGKKEVWV&lid=LSTMOBG36HSAGKKEVWVB9FESW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBG36HSAGKKEVWV.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
9,"Redmi 10 Prime (Phantom Black, 64 GB)","₹7,998",https://rukminim2.flixcart.com/image/312/312/ktbu6q80/mobile/s/j/e/10-prime-10-redmi-original-imag6pbabybzmrhn.jpeg?q=70,4.1,https://www.flipkart.com//redmi-10-prime-phantom-black-64-gb/p/itm7093af5741fe4?pid=MOBGK2GFPNPYFHP7&lid=LSTMOBGK2GFPNPYFHP7K0LVT1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBGK2GFPNPYFHP7.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
10,"Redmi 8A (Ocean Blue, 32 GB)","₹16,999",https://rukminim2.flixcart.com/image/312/312/k0y6cnk0/mobile/u/e/p/mi-redmi-8a-mzb8458in-original-imafkmhycvhcsrzm.jpeg?q=70,4.4,https://www.flipkart.com//redmi-8a-ocean-blue-32-gb/p/itm339c6356c2a6a?pid=MOBFKF98ZVHXHUEP&lid=LSTMOBFKF98ZVHXHUEPSYDA5B&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBFKF98ZVHXHUEP.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
11,"Note 7 Pro (Space Black, 64 GB)","₹34,999",https://rukminim2.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/z/j/a/mi-redmi-note-7-pro-mzb7465in-original-imafhvrdmeyweauc.jpeg?q=70,4.4,https://www.flipkart.com//note-7-pro-space-black-64-gb/p/itm3537e6402c023?pid=MOBFHUQ4ZPZX89G6&lid=LSTMOBFHUQ4ZPZX89G6KSIIC2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBFHUQ4ZPZX89G6.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
12,"Mi 11X Pro (Cosmic Black, 256 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/kox8b680/mobile/q/u/g/11x-pro-5g-11x-pro-mi-original-imag39qh8v7cw35h.jpeg?q=70,4,https://www.flipkart.com//mi-11x-pro-cosmic-black-256-gb/p/itm5793273322b4e?pid=MOBG36HS4MTWGYHX&lid=LSTMOBG36HS4MTWGYHXGDXLMY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBG36HS4MTWGYHX.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
13,"Redmi Note 7 Pro (Red, 64 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/y/m/h/mi-redmi-note-7-pro-mzb7466in-original-imafhvrdxeueacku.jpeg?q=70,4.5,https://www.flipkart.com//redmi-note-7-pro-red-64-gb/p/itmfhuq4xscxhjud?pid=MOBFHUQ4XG4HZ4SH&lid=LSTMOBFHUQ4XG4HZ4SHVC40PT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBFHUQ4XG4HZ4SH.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
14,"Redmi Note 7S (Onyx Black, 32 GB)","₹79,999",https://rukminim2.flixcart.com/image/312/312/k3xcdjk0pkrrdj/mobile-refurbished/q/d/5/redmi-note-7s-32-u-mzb7744in-mi-3-original-imafe48yggp2za54.jpeg?q=70,4.4,https://www.flipkart.com//redmi-note-7s-onyx-black-32-gb/p/itmfgpbaq3wyvgwq?pid=MOBFGGJ8VUGCYUTU&lid=LSTMOBFGGJ8VUGCYUTUMGPACF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBFGGJ8VUGCYUTU.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
15,"Xiaomi 14 (Black, 512 GB)","₹34,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/x/f/-original-imagzr2fzpaw9bkq.jpeg?q=70,4.5,https://www.flipkart.com//xiaomi-14-black-512-gb/p/itm6aee541658351?pid=MOBGYGCM6WBYMZRH&lid=LSTMOBGYGCM6WBYMZRHJI0E5Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBGYGCM6WBYMZRH.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
16,"Mi 11X (Cosmic Black, 128 GB)","₹14,990",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/q/q/-original-imaggcz6fyt9yayh.jpeg?q=70,4.2,https://www.flipkart.com//mi-11x-cosmic-black-128-gb/p/itmabc334b32f605?pid=MOBGGCHFRYMK6FJA&lid=LSTMOBGGCHFRYMK6FJASEQNZA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBGGCHFRYMK6FJA.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
17,"REDMI Note 11 Pro (Phantom White, 128 GB)","₹43,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/d/5/redmi-note-11-pro-2201116ti-mi-original-imah3gtuqepc2zzg.jpeg?q=70,4.2,https://www.flipkart.com//redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGHDXFYMM5UFGM&lid=LSTMOBGHDXFYMM5UFGM5QC0V4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBGHDXFYMM5UFGM.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
18,"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 256 GB)","₹10,649",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/a/a/11t-pro-5g-hyperphone-mzb0aftin-xiaomi-original-imah27t2qswsutve.jpeg?q=70,4,https://www.flipkart.com//xiaomi-11t-pro-5g-hyperphone-moonlight-white-256-gb/p/itm2c7ef0b75c5db?pid=MOBGB74URFDJ3EGH&lid=LSTMOBGB74URFDJ3EGHZIA5OE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBGB74URFDJ3EGH.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
19,"Redmi Note 4 (Dark Grey, 32 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/mobile/9/8/z/mi-redmi-note-4-na-original-imaeqdxjuadhagfc.jpeg?q=70,4.4,https://www.flipkart.com//redmi-note-4-dark-grey-32-gb/p/itmeqgfhpbdprkec?pid=MOBEQ98TGHHPQJGH&lid=LSTMOBEQ98TGHHPQJGHGHIEYT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=93579b7d-9a00-44df-92ce-7f1bddcbe310.MOBEQ98TGHHPQJGH.SEARCH&ppt=None&ppn=None&ssid=szhpv9322o0000001770131667020
